"TID" "item"
1 "PROFANE_ass"
1 "TERM_baby"
1 "TERM_big"
1 "PROFANE_bitch"
1 "TERM_call"
1 "TERM_coming"
1 "TERM_didn"
1 "TERM_drop"
1 "PROFANE_fire"
1 "PROFANE_fuck"
1 "TERM_gang"
1 "TERM_gon"
1 "TERM_good"
1 "TERM_hey"
1 "TERM_hit"
1 "TERM_lil"
1 "TERM_made"
1 "TERM_man"
1 "PROFANE_nigga"
1 "TERM_ring"
1 "PROFANE_shit"
1 "TERM_show"
1 "TERM_skrrt"
1 "TERM_thought"
1 "TERM_told"
1 "TERM_watch"
1 "TERM_woo"
1 "TERM_young"
2 "TERM_ama"
2 "TERM_big"
2 "TERM_break"
2 "TERM_call"
2 "TERM_cold"
2 "TERM_cry"
2 "TERM_day"
2 "TERM_doe"
2 "TERM_friends"
2 "PROFANE_fuck"
2 "TERM_gang"
2 "TERM_gave"
2 "TERM_guess"
2 "TERM_heart"
2 "TERM_hit"
2 "TERM_home"
2 "TERM_inside"
2 "TERM_knew"
2 "TERM_leave"
2 "TERM_left"
2 "TERM_lie"
2 "TERM_life"
2 "TERM_lost"
2 "TERM_lot"
2 "TERM_love"
2 "TERM_made"
2 "TERM_money"
2 "TERM_nah"
2 "PROFANE_nigga"
2 "RACIST_niggas"
2 "TERM_people"
2 "TERM_put"
2 "TERM_ride"
2 "PROFANE_shit"
2 "TERM_show"
2 "TERM_side"
2 "TERM_stay"
2 "TERM_straight"
2 "TERM_thing"
2 "TERM_thought"
2 "TERM_times"
2 "TERM_told"
2 "TERM_top"
2 "TERM_turn"
2 "TERM_world"
3 "TERM_big"
3 "PROFANE_bitch"
3 "TERM_dance"
3 "TERM_dark"
3 "TERM_diamonds"
3 "TERM_friends"
3 "PROFANE_fucking"
3 "PROFANE_god"
3 "TERM_gon"
3 "TERM_hands"
3 "TERM_hard"
3 "TERM_hey"
3 "TERM_leave"
3 "TERM_lie"
3 "TERM_light"
3 "TERM_lost"
3 "PROFANE_mad"
3 "TERM_made"
3 "TERM_money"
3 "RACIST_niggas"
3 "TERM_real"
3 "TERM_stay"
3 "TERM_straight"
3 "TERM_times"
3 "TERM_tryna"
3 "TERM_watch"
4 "TERM_bad"
4 "PROFANE_bitch"
4 "TERM_body"
4 "TERM_bout"
4 "TERM_face"
4 "PROFANE_fuck"
4 "PROFANE_fucking"
4 "TERM_give"
4 "PROFANE_god"
4 "TERM_head"
4 "TERM_hit"
4 "TERM_huh"
4 "TERM_light"
4 "TERM_lil"
4 "PROFANE_mad"
4 "TERM_nah"
4 "PROFANE_nigga"
4 "RACIST_niggas"
4 "TERM_play"
4 "TERM_pull"
4 "TERM_put"
4 "TERM_real"
4 "PROFANE_shit"
4 "TERM_straight"
4 "TERM_talk"
4 "TERM_tryna"
4 "TERM_walk"
5 "PROFANE_ass"
5 "TERM_baby"
5 "TERM_big"
5 "PROFANE_bitch"
5 "TERM_boy"
5 "TERM_break"
5 "TERM_call"
5 "TERM_crazy"
5 "TERM_day"
5 "TERM_diamonds"
5 "TERM_didn"
5 "TERM_drop"
5 "TERM_fall"
5 "PROFANE_fuck"
5 "TERM_gang"
5 "TERM_give"
5 "PROFANE_god"
5 "TERM_gotta"
5 "TERM_head"
5 "TERM_hit"
5 "TERM_home"
5 "TERM_leave"
5 "TERM_lil"
5 "TERM_lot"
5 "TERM_man"
5 "TERM_miss"
5 "PROFANE_nigga"
5 "RACIST_niggas"
5 "TERM_notil"
5 "TERM_play"
5 "TERM_pop"
5 "TERM_pull"
5 "PROFANE_pussy"
5 "TERM_put"
5 "TERM_ride"
5 "TERM_ring"
5 "PROFANE_shit"
5 "TERM_skrrt"
5 "TERM_start"
5 "TERM_straight"
5 "TERM_talk"
5 "TERM_top"
6 "TERM_ama"
6 "TERM_baby"
6 "TERM_bout"
6 "TERM_boy"
6 "TERM_coming"
6 "TERM_cry"
6 "TERM_drip"
6 "TERM_drop"
6 "TERM_feeling"
6 "TERM_friends"
6 "PROFANE_fuck"
6 "TERM_gang"
6 "PROFANE_god"
6 "TERM_gon"
6 "TERM_good"
6 "TERM_gotta"
6 "TERM_hit"
6 "TERM_hundred"
6 "TERM_leave"
6 "TERM_lie"
6 "TERM_live"
6 "TERM_living"
6 "TERM_made"
6 "TERM_miss"
6 "TERM_money"
6 "PROFANE_nigga"
6 "RACIST_niggas"
6 "TERM_pop"
6 "TERM_pull"
6 "TERM_put"
6 "PROFANE_shit"
6 "TERM_skrrt"
6 "TERM_stop"
6 "TERM_straight"
6 "TERM_told"
6 "TERM_tryna"
6 "TERM_watch"
6 "TERM_work"
6 "TERM_world"
6 "TERM_young"
7 "PROFANE_ass"
7 "TERM_bad"
7 "PROFANE_bitch"
7 "TERM_bout"
7 "TERM_break"
7 "TERM_call"
7 "TERM_coming"
7 "TERM_didn"
7 "TERM_falling"
7 "TERM_feeling"
7 "PROFANE_fuck"
7 "TERM_gang"
7 "TERM_girl"
7 "PROFANE_god"
7 "TERM_gon"
7 "TERM_hard"
7 "TERM_high"
7 "TERM_hundred"
7 "TERM_lie"
7 "TERM_lil"
7 "TERM_made"
7 "TERM_man"
7 "PROFANE_nigga"
7 "RACIST_niggas"
7 "TERM_night"
7 "TERM_play"
7 "TERM_pull"
7 "PROFANE_pussy"
7 "TERM_ride"
7 "PROFANE_shit"
7 "TERM_straight"
7 "TERM_talking"
7 "TERM_told"
7 "TERM_tryna"
7 "TERM_turn"
7 "TERM_wrong"
8 "PROFANE_ass"
8 "TERM_bag"
8 "TERM_big"
8 "PROFANE_bitch"
8 "TERM_bout"
8 "TERM_boy"
8 "TERM_coming"
8 "TERM_crazy"
8 "TERM_dark"
8 "TERM_days"
8 "TERM_diamonds"
8 "TERM_doe"
8 "TERM_end"
8 "PROFANE_fuck"
8 "TERM_gang"
8 "TERM_gon"
8 "TERM_head"
8 "TERM_hear"
8 "TERM_hit"
8 "TERM_hot"
8 "TERM_inside"
8 "TERM_left"
8 "TERM_life"
8 "TERM_lil"
8 "TERM_lot"
8 "TERM_love"
8 "TERM_made"
8 "TERM_man"
8 "TERM_money"
8 "PROFANE_nigga"
8 "RACIST_niggas"
8 "TERM_notil"
8 "TERM_play"
8 "TERM_pull"
8 "PROFANE_pussy"
8 "TERM_put"
8 "TERM_real"
8 "TERM_ride"
8 "PROFANE_shit"
8 "TERM_talk"
8 "TERM_talking"
8 "TERM_told"
8 "TERM_tryna"
8 "TERM_turn"
8 "TERM_walk"
8 "TERM_work"
9 "TERM_ama"
9 "PROFANE_ass"
9 "TERM_baby"
9 "TERM_big"
9 "PROFANE_bitch"
9 "PROFANE_bitches"
9 "TERM_body"
9 "TERM_fall"
9 "TERM_feel"
9 "TERM_friends"
9 "PROFANE_fuck"
9 "TERM_gang"
9 "PROFANE_god"
9 "TERM_gon"
9 "TERM_gotta"
